Site,Code,C14Age,C14SD,LabNumber,Material,Tradition,Sub,Latitude,Longitude,SiteDescription,Comments,Reference,FullReference,Exclude,calCurves,resOffsets,resErrors,Period,L1,L2,Name,Cultural Affiliation
Córrego do Maranhão,ZM-CR-01,470,50,Beta-290693,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
Rancho Leôncio 2,PR-FL-05,470,100,SI-694,,Tupiguarani,Guarani,-23.3162,-52.591,,,Stuckenrath and Mielke 1973,"Stuckenrath, R, and J Mielke. 1973. “Smithsonian Institution Radiocarbon Measurements VIII.” Radiocarbon 15 (2): 388–424.",FALSE,shcal20,0,0,,TP,,Rancho Leôncio 2 (PR-FL-05),Tupiguarani (Guarani)
Wilmoth Röpke,RS-JC-57,470,60,Beta-181184,,Tupiguarani,Guarani,-29.44,-53.27,Layer of dark earth with hearths and post holes.,,Soares 2004,"Soares, André Luis R. 2004. “Contribuição à Arqueologia Guarani: Estudo Do Sítio Röpke.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Wilmoth Röpke (RS-JC-57),Tupiguarani (Guarani)
Bitoca 1,PA-AT-277,460,40,Beta-227306,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Córrego do Maranhão,ZM-CR-01,460,50,Beta-290692,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
Ferraz Egreja,MT-SL-91,460,40,Gif-9044,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
Corpus,,459,43,AA-103647,Fauna bone (mammal),Tupiguarani,Guarani,-27.11,-55.5016,The site contained burials. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Loponte et al. 2016,"Loponte, Daniel, Mirian Carbonera, María José Corriale, and Alejandro Acosta. 2016. “Horticulturists and Oxygen Ecozones in the Tropical and Subtropical Forests of Southeast South America.” Environmental Archaeology, 1–21.",FALSE,shcal20,0,0,,TP,,Corpus,Tupiguarani (Guarani)
Bitoca 1,PA-AT-277,450,60,Beta-195706,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
SC-U-470,SC-U-470,450,70,Beta-113973,Charcoal,Tupiguarani,Guarani,-27.56,-51.67,,,Monticelli 2007,"Monticelli, Gislene. 2007. “O Céu é o Limite: Como Extrapolar as Normas Rígidas Da Cerâmica Guarani.” Boletim Do Museu Paraense Emílio Goeldi. Ciências Humanas 2: 105–15.",FALSE,shcal20,0,0,,TP,,SC-U-470,Tupiguarani (Guarani)
Zé Preto,,450,50,GIF,,Tupiguarani,,-12.06,-43.55,,,Etchevarne 1999,"Etchevarne, Carlos. 1999. “A Ocupação Humana Do Nordeste Brasileiro Antes Da Colonização Portuguesa.” Revista USP 44: 112–41.",FALSE,shcal20,0,0,,TP,,Zé Preto,Tupiguarani
Bento Prestes,RS-CM-11,445,40,SI-6402,,Tupiguarani,Guarani,-30.845,-52.892,,,Ribeiro et al. 1986,"Ribeiro, Pedro A M, C T Ribeiro, I Silveira, and S C Klamt. 1986. “Levantamentos Arqueológicos Nos Altos Vales Dos Rios Camaquã e Irapuã, RS, Brasil.” Revista Do CEPA 15: 41–70.",FALSE,shcal20,0,0,,TP,,Bento Prestes (RS-CM-11),Tupiguarani (Guarani)
Arroyo Malo,,442,45,AA-103897,Human bone,Tupiguarani,Guarani,-34.306,-58.6984,Multiple secondary burials in funerary urn. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Bonomo et al. 2015,"Bonomo, Mariano, Rodrigo C Angrizani, Eduardo Apolinaire, and Francisco Silva Noelli. 2015. “A Model for the Guaraní Expansion in the La Plata Basin and Littoral Zone of Southern Brazil.” Quaternary International 356: 54–73.",FALSE,shcal20,0,0,,TP,,Arroyo Malo,Tupiguarani (Guarani)
Angical,,440,55,SI-6281,,Tupiguarani,,-5.86,-50.53,,,Magalhães 1994,"Magalhães, Marcos Pereira. 1994. Arqueologia de Carajás: A Presença Pré-Histórica Do Homem Na Amazônia. Rio de Janeiro: Vale do Rio Doce.",FALSE,shcal20,0,0,,TP,,Angical,Tupiguarani
Córrego Jacutinga,PR-SA-57,440,50,Beta-224258,,Tupiguarani,Guarani,-24.0218,-50.5648,,,Chmyz et al. 2008,"Chmyz, Igor, Eliane Sganzerla, Jonas E Volcov, Eloi Bora, and Roseli S Ceccon. 2008. “A Arqueologia Da Área Da LT 750 KV Ivaiporã - Itaberá III, Paraná - São Paulo.” Revista Do Centro de Ensino e Pesquisas Arqueológicas 5: 1–305.",FALSE,shcal20,0,0,,TP,,Córrego Jacutinga (PR-SA-57),Tupiguarani (Guarani)
Laranjal I,SC00662,440,40,Beta-262751,Charcoal,Tupiguarani,Guarani,-28.6201,-48.9379,A village with preserved primary contexts in the interior of completely burnt houses.,,Milheira 2010,"Milheira, Rafael Guedes. 2010. “Arqueologia Guarani No Litoral Sul-Catarinense: História e Território.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Laranjal I (SC00662),Tupiguarani (Guarani)
Bananeiras,RJ00690,430,40,Beta-171160,Human bone,Tupiguarani,,-22.8652,-42.2852,Dark earth and funerary urn accompanied by painted ceramics.,,Gaspar et al. 2004,"Gaspar, Maria Dulce, Maria Cristina Tenório, Angela Buarque, Márcia Barbosa-Guimarães, Jeanne Cordeiro Oliveira, and Rita Scheel-Ybert. 2004. “Histórico e Principais Resultados Do Projeto de Investigação: O Aproveitamento Ambiental Das Populações Pré-Históricas Do Rio de Janeiro.” Arquivos Do Museu Nacional 62 (2): 103–29.",FALSE,shcal20,0,0,,TP,,Bananeiras (RJ00690),Tupiguarani
Medina I,,430,50,LP-734,,Tupiguarani,Guarani,-27.552,-57.149,,,Rodríguez 1997,"Rodríguez, Jorge A. 1997. “Investigaciones Arqueológicas En Yacyretá (Corrientes-Argentina).” Jornadas de Antropología de La Cuenca Del Plata 3: 41–47.",FALSE,shcal20,0,0,,TP,,Medina I,Tupiguarani (Guarani)
Morro Bonito II,SC00628,430,40,Beta-262754,,Tupiguarani,Guarani,-28.6129,-48.9918,A village with preserved primary contexts in the interior of completely burnt houses.,,Milheira 2010,"Milheira, Rafael Guedes. 2010. “Arqueologia Guarani No Litoral Sul-Catarinense: História e Território.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Morro Bonito II (SC00628),Tupiguarani (Guarani)
Serra da Piquira 2,PR-SA-44,430,60,Beta-180908,,Tupiguarani,Guarani,-24.0998,-50.885,,,Chmyz et al. 2008,"Chmyz, Igor, Eliane Sganzerla, Jonas E Volcov, Eloi Bora, and Roseli S Ceccon. 2008. “A Arqueologia Da Área Da LT 750 KV Ivaiporã - Itaberá III, Paraná - São Paulo.” Revista Do Centro de Ensino e Pesquisas Arqueológicas 5: 1–305.",FALSE,shcal20,0,0,,TP,,Serra da Piquira 2 (PR-SA-44),Tupiguarani (Guarani)
Cem. A. Paicarabi y Fredes,,421,45,AA-103896,Charcoal,Tupiguarani,Guarani,-34.2289,-58.5924,,,Bonomo et al. 2015,"Bonomo, Mariano, Rodrigo C Angrizani, Eduardo Apolinaire, and Francisco Silva Noelli. 2015. “A Model for the Guaraní Expansion in the La Plata Basin and Littoral Zone of Southern Brazil.” Quaternary International 356: 54–73.",FALSE,shcal20,0,0,,TP,,Cem. A. Paicarabi y Fredes,Tupiguarani (Guarani)
Ferraz Egreja,MT-SL-91,420,40,Gif-10044,Charcoal,Tupiguarani,,-16.5167,-54.8278,"Rock shelter with parietal art and long history of occupation, mostly preceramic, with numerous superimposed hearths.",,Fontugne et al. 2006,"Fontugne, Michel, Christine Hatté, and Claude Noury. 2006. “Quadro Cronológico.” In Pré-História Do Mato Grosso, edited by Águeda V Vialou, EdUSP, 45–48. São Paulo.",FALSE,shcal20,0,0,,TP,,Ferraz Egreja (MT-SL-91),Tupiguarani
González,,420,50,B-105251,,Tupiguarani,Guarani,-27.506,-56.729,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,González,Tupiguarani (Guarani)
Santa Rita,RS-SR-342,420,60,Beta-118376,,Tupiguarani,Guarani,-29.981,-51.533,,,Hilbert 1999,"Hilbert, Klaus. 1999. “Arqueologia Guarani Na Região de Guaíba - RS.” In X Reunião Científica Da Sociedade de Arqueologia Brasileira. Recife: SAB.",FALSE,shcal20,0,0,,TP,,Santa Rita (RS-SR-342),Tupiguarani (Guarani)
Arroyo la Glorieta,,416,41,AA-93216,Human bone,Tupiguarani,Guarani,-34.346,-58.744,Burial site with funerary urns.,,Bonomo et al. 2011,"Bonomo, Mariano, Gustavo Politis, and Camila Gianotti. 2011. “Montículos, Jerarquía Social y Horticultura En Las Sociedades Indígenas Del Delta Del Río Paraná (Argentina).” Latin American Antiquity 22 (3): 297–333.",FALSE,shcal20,0,0,,TP,,Arroyo la Glorieta,Tupiguarani (Guarani)
Faz. Dona Carlota 1,PR-FI-104,415,75,SI-5032,,Tupiguarani,Guarani,-25.1973,-54.4591,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 1 (PR-FI-104),Tupiguarani (Guarani)
Fazendinha,MT01160,415,50,,,Tupiguarani,,-16.495,-54.8439,,,Monteiro 2005,"Monteiro, Luciane Cabral. 2005. “Abrigos e Aldeias: Análise Dos Contextos Tecnológicos Das Ocupações de Ceramistas Na Cidade de Pedra, Rondonópolis, Mato Grosso.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Fazendinha (MT01160),Tupiguarani
Pirajibu,,415,105,,,Tupiguarani,,-23.4517,-47.3844,,,Moraes 2007,"Moraes, Camila Azevedo. 2007. “Arqueologia Tupi No Nordeste de São Paulo: Um Estudo de Variabilidade Artefatual.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Pirajibu,Tupiguarani
RS-T-114,RS-T-114,410,30,Beta-326927,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
RS-T-114,RS-T-114,410,30,Beta-388512,Charcoal,Tupiguarani,Guarani,-29.2885,-52.1195,"Layer of dark earth with abundant ceramic debris, ovens and pit features.",,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-114,Tupiguarani (Guarani)
Site 519,,410,50,B-197133,,Tupiguarani,Guarani,-27.356,-56.169,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Site 519,Tupiguarani (Guarani)
Três Bocas 2,,410,60,LP-1761,Charcoal,Tupiguarani,Guarani,-27.529,-54.656,,,Angrizani 2012,"Angrizani, Rodrigo Costa. 2012. “Variabilidad, Movilidad y Paisaje: Una Propuesta Interpretativa Para Los Vestigios de Los Asentamientos Precoloniales En El Noroeste Del Rio Grande Do Sul (Brasil).” La Plata: Universidad Nacional de La Plata.",FALSE,shcal20,0,0,,TP,,Três Bocas 2,Tupiguarani (Guarani)
El Arbolito,,405,35,GrN-5146,Charcoal,Tupiguarani,Guarani,-34.127,-58.26,,,Cigliano 1968,"Cigliano, M E. 1968. “Investigaciones Arqueológicas En El Río Uruguay Medio y La Costa NE de La Provincia de Buenos Aires.” Pesquisas: Antropologia 18: 5–9.",FALSE,shcal20,0,0,,TP,,El Arbolito,Tupiguarani (Guarani)
RN-BO-16,,405,60,SI-2365,,Tupiguarani,,-6.16,-36.81,,,Brochado et al. 1969,"Brochado, José Joaquim Justiniano Proenza, Valentin Calderón, Igor Chmyz, Clifford Evans, Silvia Maranca, Betty J Meggers, Eurico T Miller, et al. 1969. “Arqueologia Brasileira Em 1968.” Publicaçoes Avulsas Do Museu Paraense Emilio Goeldi 12.",FALSE,shcal20,0,0,,TP,,RN-BO-16,Tupiguarani
Arroyo Fredes,,402,40,AA-77309,Fauna,Tupiguarani,Guarani,-34.209,-58.568,Multiple secondary burials in funerary urn. An exotic bronze pin head points to indirect contact with the Andes. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Loponte et al. 2011,"Loponte, Daniel, Alejandro Acosta, I Capparelli, and M Pérez. 2011. “La Arqueología Guaraní En El Extremo Meridional de La Cuenca Del Plata.” In Arqueología Tupiguaraní, edited by Daniel Loponte and Alejandro Acosta, 111–54. Buenos Aires: Instituto Nacional de Antropología y Pensamiento Latinoamericano.",FALSE,shcal20,0,0,,TP,,Arroyo Fredes,Tupiguarani (Guarani)
Cachorro Cego,PA-AT-287,400,40,Beta-227311,Charcoal,Tupiguarani,,-5.82,-50.5353,Patches of ADE covering over 15 ha. Excavations revealed hearths and post holes.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Cachorro Cego (PA-AT-287),Tupiguarani
Llamarada 1,,400,50,Beta-41939,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
Pacajá Phase,,400,90,Beta-17178,,Tupiguarani,,-3.54,-52.33,,,Perota 1992,"Perota, Celso. 1992. “Adaptação Agrícola No Baixo Xingu.” In Prehistoria Sudamericana: Nuevas Perspectivas, edited by Betty J Meggers, 211–18. Washington, D. C.: Taraxacum.",FALSE,shcal20,0,0,,TP,,Pacajá Phase,Tupiguarani
São José,PA-AT-04,400,70,SI-4058,,Tupiguarani,,-5.3842,-49.1166,,,Simões and Costa 1987,"Simões, Mário F, and Fernanda A Costa. 1987. “Pesquisas Arqueológicas No Baixo Rio Tocantins (Pará).” Revista de Arqueologia 4 (1): 11–27.",FALSE,shcal20,0,0,,TP,,São José (PA-AT-04),Tupiguarani
Faz. Dona Carlota 4,PR-FI-142,395,60,SI-5034,,Tupiguarani,Guarani,-25.1797,-54.4437,Patches of dark earth.,,Chmyz 1983,"Chmyz, Igor. 1983. “Sétimo Relatório Do Projeto Arqueológico Itaipu.” Curitiba: Itaipu/IPHAN.",FALSE,shcal20,0,0,,TP,,Faz. Dona Carlota 4 (PR-FI-142),Tupiguarani (Guarani)
Itajubá 1,,390,60,LP-1751,Charcoal,Tupiguarani,Guarani,-27.544,-54.668,,,Angrizani 2012,"Angrizani, Rodrigo Costa. 2012. “Variabilidad, Movilidad y Paisaje: Una Propuesta Interpretativa Para Los Vestigios de Los Asentamientos Precoloniales En El Noroeste Del Rio Grande Do Sul (Brasil).” La Plata: Universidad Nacional de La Plata.",FALSE,shcal20,0,0,,TP,,Itajubá 1,Tupiguarani (Guarani)
Nova Ipixuna 3,,390,90,,,Tupiguarani,Tauarí,-4.9159,-49.0371,,,Almeida 2008,"Almeida, Fernando O. 2008. “O Complexo Tupi Da Amazônia Oriental.” São Paulo: University of São Paulo.",FALSE,shcal20,0,0,,TP,,Nova Ipixuna 3,Tupiguarani (Tauarí)
Olímpia IV,SP01157,390,40,Beta-241017,Human tooth,Tupiguarani,,-20.6365,-49.0757,The site contained a primary burial.,,Zanettini 2007,"Zanettini, P. 2007. “Programa de Diagnóstico Arqueológico Usina Guarani S/A - Açúcar e Álcool, Municípios de São José Do Rio Preto e Olímpia, Estado de São Paulo: Relatório Final.” São Paulo: Zanettini Arqueologia.",FALSE,shcal20,0,0,,TP,,Olímpia IV (SP01157),Tupiguarani
RS-03,,390,30,Beta-422490,Charcoal,Tupiguarani,Guarani,-29.1361,-51.7418,,,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-03,Tupiguarani (Guarani)
RS-T-132,,390,30,Beta-512708,Charcoal,Tupiguarani,Guarani,-29.17,-52.2,,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,RS-T-132,Tupiguarani (Guarani)
Santa Tecla I,,390,60,Beta-197130,,Tupiguarani,Guarani,-27.637,-56.615,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Santa Tecla I,Tupiguarani (Guarani)
Sauípe 8,,390,50,Beta-118817,,Tupiguarani,,-12.4038,-37.9295,,,Robrahn-González and Zanettini 2001,"Robrahn-González, Erika M, and Paulo Zanettini. 2001. “Programa Arqueológico de Resgate - Complexo Ecoturístico Costa de São João - Bahia - Relatório Final.” São Paulo.",FALSE,shcal20,0,0,,TP,,Sauípe 8,Tupiguarani
Camping,PS-02,380,50,Beta-234205,Charcoal,Tupiguarani,Guarani,-31.698,-52.174,,,Milheira 2008,"Milheira, Rafael Guedes. 2008. “Território e Estratégia de Assentamento Guarani Na Planície Sudoeste Da Laguna Dos Patos e Serra Do Sudeste - RS.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Camping (PS-02),Tupiguarani (Guarani)
Site 516,,380,50,B-197132,,Tupiguarani,Guarani,-27.415,-56.269,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Site 516,Tupiguarani (Guarani)
Arroyo Fredes,,370,50,LP-1428,Human bone,Tupiguarani,Guarani,-34.209,-58.568,Multiple secondary burials in funerary urn. An exotic bronze pin head points to indirect contact with the Andes. Enriched isotopic values from human bone collagen and apatite are compatible with consumption of maize.,,Loponte et al. 2011,"Loponte, Daniel, Alejandro Acosta, I Capparelli, and M Pérez. 2011. “La Arqueología Guaraní En El Extremo Meridional de La Cuenca Del Plata.” In Arqueología Tupiguaraní, edited by Daniel Loponte and Alejandro Acosta, 111–54. Buenos Aires: Instituto Nacional de Antropología y Pensamiento Latinoamericano.",FALSE,shcal20,0,0,,TP,,Arroyo Fredes,Tupiguarani (Guarani)
Bitoca 1,PA-AT-277,370,40,Beta-195710,Charcoal,Tupiguarani,,-5.8202,-50.5021,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 1 (PA-AT-277),Tupiguarani
Bitoca 2,PA-AT-278,370,40,Beta-227307,Charcoal,Tupiguarani,,-5.8237,-50.4992,ADE site.,,Silveira et al. 2008,"Silveira, Maura I, Maria C L R Rodrigues, Elisângela Oliveira, and Louis-Martin Losier. 2008. “Seqüência Cronológica de Ocupação Na Área Do Salobo (Pará).” Revista de Arqueologia 21 (1): 61–84.",FALSE,shcal20,0,0,,TP,,Bitoca 2 (PA-AT-278),Tupiguarani
Lagoa 1,MS-PR-22,370,20,Gif-11073,,Tupiguarani,Guarani,-22.0969,-52.3986,,,Kashimoto 1997,"Kashimoto, Emilia M. 1997. “Variáveis Ambientais e Arqueologia No Alto Paraná.” São Paulo: Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Lagoa 1 (MS-PR-22),Tupiguarani (Guarani)
Llamarada 1,,370,60,Beta-41943,,Tupiguarani,Guarani,-28.319,-58.082,,,Mujica 1995,"Mujica, J I. 1995. “Un Sitio Guaraní En El Centro de La Provincia de Corrientes -Llamarada- Santa Rosa. Depto. de Concepción.” In XX Encuentro de Geohistoria Regional, 135–48. Governador Virasoro.",FALSE,shcal20,0,0,,TP,,Llamarada 1,Tupiguarani (Guarani)
RS-T-101,RS-T-101,370,30,Beta-326926,Charcoal,Tupiguarani,Guarani,-29.2555,-52.1585,Layer of dark earth.,,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-101,Tupiguarani (Guarani)
RS-T-132,,370,30,Beta-472012,Charcoal,Tupiguarani,Guarani,-29.17,-52.2,,,Unpublished,Unpublished,FALSE,shcal20,0,0,,TP,,RS-T-132,Tupiguarani (Guarani)
Chã do Caboclo,Bj-10,360,135,MC-1082,Charcoal,Tupiguarani,,-7.7417,-35.5528,"The site has a long history of occupation, since the early Holocene.",,Rapaire and Hughes 1977,"Rapaire, J. L., and G. Hughes. 1977. “Monaco Radiocarbon Measurements V.” Radiocarbon 19 (1): 49–61.",FALSE,shcal20,0,0,,TP,,Chã do Caboclo (Bj-10),Tupiguarani
Medina I,,360,60,Beta-105253,,Tupiguarani,Guarani,-27.552,-57.149,,,Rodríguez 2009,"Rodríguez, Jorge A. 2009. “La Ocupación (Poblamiento) Del Norte de Corrientes (Argentina) Por Fase de La Tradición Tupiguaraní.” In Arqueologia Interpretativa. O Método Quantitativo Para o Establecimento de Seqüências Cerâmicas: Estudos de Casos, edited by Betty J Meggers, 49–62. Porto Nacional: UNITINS.",FALSE,shcal20,0,0,,TP,,Medina I,Tupiguarani (Guarani)
RS-T-117,RS-T-117,360,30,Beta-422489,Charcoal,Tupiguarani,Guarani,-29.6111,-51.9456,Secondary urn burial accompanied by ceramic offerings.,,Schneider et al. 2017,"Schneider, Fernanda, Sidnei Wolf, Marcos R Kreutz, and Neli Teresinha Galarce Machado. 2017. “Tempo e Espaço Guarani: Um Estudo Acerca Da Ocupação, Cronologia e Dinâmica de Movimentação Pré-Colonial Na Bacia Do Rio Taquari/Antas, Rio Grande Do Sul, Brasil.” Boletim Do Museu Paraense Emilio Goeldi:Ciencias Humanas 12 (1): 31–56.",FALSE,shcal20,0,0,,TP,,RS-T-117,Tupiguarani (Guarani)
Sauípe 23,,360,50,Beta-128683,,Tupiguarani,,-12.43,-37.92,,,Robrahn-González 2000,"Robrahn-González, Erika M. 2000. “Programa de Pesquisa e Resgate Arqueológico de Porto Sauipe: Relatório Final.” São Paulo: Zanettini Arquitetura.",FALSE,shcal20,0,0,,TP,,Sauípe 23,Tupiguarani
Serra da Piquira 2,PR-SA-44,360,60,Beta-180909,,Tupiguarani,Guarani,-24.0998,-50.885,,,Chmyz et al. 2008,"Chmyz, Igor, Eliane Sganzerla, Jonas E Volcov, Eloi Bora, and Roseli S Ceccon. 2008. “A Arqueologia Da Área Da LT 750 KV Ivaiporã - Itaberá III, Paraná - São Paulo.” Revista Do Centro de Ensino e Pesquisas Arqueológicas 5: 1–305.",FALSE,shcal20,0,0,,TP,,Serra da Piquira 2 (PR-SA-44),Tupiguarani (Guarani)
Córrego do Maranhão,ZM-CR-01,350,50,Beta-290694,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
Córrego do Maranhão,ZM-CR-01,350,50,Beta-290695,Charcoal,Tupiguarani,,-20.7346,-42.1582,Ceramic densities suggest a ring village 1.5 ha.,,Mageste 2017,"Mageste, Leandro Elias Canaan. 2017. “Cronologia e Variabilidade: Os Ceramistas Tupiguarani Da Zona Da Mata Mineira e Complexo Lagunar de Araruama.” Universidade de São Paulo.",FALSE,shcal20,0,0,,TP,,Córrego do Maranhão (ZM-CR-01),Tupiguarani
